season,week,n_qualifying_legs,n_top_legs,constructible,n_tickets_2team,n_tickets_3team,n_legs_winning
2024,1,1,1,False,0,0,1
2024,2,1,1,False,0,0,1
2024,3,2,2,True,1,0,1
2024,4,8,4,True,6,4,6
2024,5,3,3,True,3,1,3
2024,6,2,2,True,1,0,2
2024,7,1,1,False,0,0,0
2024,8,3,3,True,3,1,2
2024,9,3,3,True,3,1,2
2024,10,3,3,True,3,1,3
2024,11,2,2,True,1,0,1
2024,12,1,1,False,0,0,1
2024,13,1,1,False,0,0,1
2024,14,0,0,False,0,0,0
2024,15,3,3,True,3,1,2
2024,16,2,2,True,1,0,2
2024,17,2,2,True,1,0,1
2024,18,3,3,True,3,1,2
2024,19,0,0,False,0,0,0
2024,20,0,0,False,0,0,0
2024,21,0,0,False,0,0,0
2024,22,0,0,False,0,0,0
